Neighborhood,BusinessLoss_risk,StaffCancellation_risk,VenuesPer1k_risk,OLS_PCT_risk,Variety_risk,Risk
Astoria/LIC,0.9411764705882353,0.5882352941176471,0.29411764705882354,0.11764705882352941,0.17647058823529413,0.4235294117647059
Bed-Stuy,0.7058823529411765,0.5882352941176471,0.4117647058823529,0.7647058823529411,0.3235294117647059,0.5588235294117647
Bed-Stuy/Bushwick,0.8235294117647058,0.5882352941176471,0.9411764705882353,0.9411764705882353,0.6470588235294118,0.788235294117647
Williamsburg/Bushwick/Bed-Stuy,0.35294117647058826,0.5882352941176471,0.6470588235294118,0.8823529411764706,0.47058823529411764,0.5882352941176471
Bushwick,0.6470588235294118,0.5882352941176471,0.7058823529411765,0.7058823529411765,0.8529411764705882,0.7000000000000001
Chelsea,1.0,0.5882352941176471,0.058823529411764705,0.4117647058823529,0.11764705882352941,0.4352941176470589
Elmhurst,0.47058823529411764,0.5882352941176471,1.0,0.058823529411764705,0.3235294117647059,0.488235294117647
Flushing,0.4117647058823529,0.5882352941176471,0.7647058823529411,0.23529411764705882,1.0,0.6
Greenpoint,0.11764705882352941,0.5882352941176471,0.17647058823529413,1.0,0.5294117647058824,0.48235294117647054
Harlem,0.23529411764705882,0.5882352941176471,0.8235294117647058,0.6470588235294118,0.7058823529411765,0.6
Inwood,0.5882352941176471,0.5882352941176471,0.8823529411764706,0.5294117647058824,0.23529411764705882,0.5647058823529412
Jackson Heights,0.5294117647058824,0.5882352941176471,0.35294117647058826,0.5882352941176471,0.4117647058823529,0.49411764705882355
LIC,0.17647058823529413,0.11764705882352941,0.47058823529411764,0.17647058823529413,0.5882352941176471,0.30588235294117644
LES,0.29411764705882354,0.5882352941176471,0.11764705882352941,0.47058823529411764,0.9411764705882353,0.48235294117647065
Ridgewood,0.7647058823529411,0.5882352941176471,0.5294117647058824,0.29411764705882354,0.7647058823529411,0.588235294117647
South Bronx,0.058823529411764705,0.058823529411764705,0.5882352941176471,0.35294117647058826,0.8529411764705882,0.38235294117647056
Williamsburg,0.8823529411764706,0.5882352941176471,0.23529411764705882,0.8235294117647058,0.058823529411764705,0.5176470588235293
